,title,category,composer,year,epoch,country,stars
1,The Four Seasons (Le Quattro Stagioni),Violin Concerto,Antonio Vivaldi,1723,Baroque,Italy,2515
2,"Requiem in D Minor, K. 626",Mass / Requiem,Wolfgang Amadeus Mozart,1791,Classical,Austria,2122
3,"Symphony No. 9 in D Minor, Op. 125",Symphony,Ludwig van Beethoven,1824,Early Romantic,Germany,2084
4,Nocturnes,Piano Sonata,Frédéric Chopin,1846,Romantic,Poland,1999
5,"Swan Lake, Op. 20",Ballet,Pyotr Ilyich Tchaikovsky,1876,Romantic,Russia,1335
6,"Toccata and Fugue in D Minor, BWV 565",Organ,Johann Sebastian Bach,-1,Baroque,Germany,1311
7,"Brandenburg Concertos, BWV 1046–1051",Unsorted Orchestral,Johann Sebastian Bach,1721,Baroque,Germany,1263
8,"Symphony No. 5 in C Minor, Op. 67",Symphony,Ludwig van Beethoven,1808,Early Romantic,Germany,1251
9,"The Nutcracker, Op. 71",Ballet,Pyotr Ilyich Tchaikovsky,1892,Romantic,Russia,1197
10,"Symphony No. 7 in A Major, Op. 92",Symphony,Ludwig van Beethoven,1812,Early Romantic,Germany,1101
11,"Symphony No. 40 in G Minor, K. 550",Symphony,Wolfgang Amadeus Mozart,1788,Classical,Austria,1022
12,Gymnopédies,Piano Sonata,Erik Satie,1888,Late Romantic,France,1019
13,"Symphony No. 9 (From the New World), Op. 95, B. 178",Symphony,Antonín Dvořák,1893,Romantic,Czech Republic,995
14,"The Blue Danube (An der schönen blauen Donau), Op. 314",Unsorted Orchestral,Johann Strauss II,1866,Romantic,Austria,959
15,"Piano Concerto No. 2 in C Minor, Op. 18",Piano Concerto,Sergei Rachmaninoff,1901,Late Romantic,Russia,894
16,The Rite of Spring (Le Sacre du printemps),Unsorted Orchestral,Igor Stravinsky,1913,20th Century,Russia,879
17,Boléro,Unsorted Orchestral,Maurice Ravel,1928,Late Romantic,France,849
18,"The Magic Flute (Die Zauberflöte), K. 620",Opera,Wolfgang Amadeus Mozart,1791,Classical,Austria,835
19,"The Planets, Op. 32",Unsorted Orchestral,Gustav Holst,1916,Late Romantic,England,832
20,"Piano Sonata No. 23 in F Minor (Appassionata), Op. 57",Piano Sonata,Ludwig van Beethoven,1805,Early Romantic,Germany,831
21,"1812 Overture, Op. 49",Unsorted Orchestral,Pyotr Ilyich Tchaikovsky,1880,Romantic,Russia,825
22,Carmen,Opera,Georges Bizet,1874,Romantic,France,820
23,"Hungarian Dances, WoO 1",Unsorted Orchestral,Johannes Brahms,1869,Romantic,Germany,815
24,"Symphony No. 6 in F Major (Pastoral Symphony), Op. 68",Symphony,Ludwig van Beethoven,1808,Early Romantic,Germany,806
25,"The Well-Tempered Clavier, BWV 846–893",Piano Sonata,Johann Sebastian Bach,1742,Baroque,Germany,792
26,"Piano Concerto No. 1 in B-flat Minor, Op. 23",Piano Concerto,Pyotr Ilyich Tchaikovsky,1875,Romantic,Russia,770
27,"Hungarian Rhapsodies, S. 244",Piano Sonata,Franz Liszt,1846,Romantic,Hungary,768
28,Canon in D,Unsorted Chamber,Johann Pachelbel,-1,Baroque,Germany,766
29,"Piano Sonata No. 14 in C-sharp Minor (Moonlight Sonata), Op. 27",Piano Sonata,Ludwig van Beethoven,1801,Early Romantic,Germany,765
30,"Études, Op. 10, 25",Piano Sonata,Frédéric Chopin,-1,Romantic,Poland,736
